id,zona,prioridad,tipo,timestamp,severidad,estado
I-0000,N6,1,0,2026-07-10T22:05:00,3,0
I-0001,N35,3,0,2026-07-10T23:03:00,5,0
I-0002,N21,1,0,2026-07-11T06:33:00,2,0
I-0003,N27,2,1,2026-07-11T06:24:00,1,0
I-0004,N20,3,3,2026-07-11T09:36:00,1,0
I-0005,N42,3,0,2026-07-11T10:30:00,1,0
I-0006,N36,1,0,2026-07-11T02:02:00,4,0
I-0007,N21,2,3,2026-07-11T10:44:00,3,0
I-0008,N40,2,3,2026-07-11T04:56:00,5,0
I-0009,N49,2,2,2026-07-11T11:34:00,4,0
I-0010,N40,2,3,2026-07-10T12:37:00,5,0
I-0011,N23,3,3,2026-07-10T18:13:00,4,0
I-0012,N42,2,1,2026-07-11T09:10:00,4,0
I-0013,N25,1,2,2026-07-11T00:29:00,5,0
I-0014,N49,3,3,2026-07-10T22:46:00,5,0
I-0015,N40,1,1,2026-07-10T15:59:00,1,0
I-0016,N34,1,2,2026-07-11T04:10:00,4,0
I-0017,N31,2,0,2026-07-10T14:11:00,3,0
I-0018,N11,4,1,2026-07-10T17:25:00,4,0
I-0019,N2,1,3,2026-07-10T23:04:00,4,0
I-0020,N16,1,3,2026-07-11T05:24:00,1,0
I-0021,N0,3,2,2026-07-10T21:10:00,4,0
I-0022,N45,1,0,2026-07-10T18:34:00,3,0
I-0023,N24,1,3,2026-07-11T11:42:00,5,0
I-0024,N16,1,3,2026-07-11T11:00:00,3,0
I-0025,N26,4,0,2026-07-10T16:49:00,3,0
I-0026,N45,1,1,2026-07-10T21:41:00,1,0
I-0027,N47,3,1,2026-07-10T23:17:00,2,0
I-0028,N34,1,0,2026-07-10T18:17:00,4,0
I-0029,N8,1,2,2026-07-10T22:42:00,3,0
I-0030,N40,2,2,2026-07-10T18:20:00,1,0
I-0031,N47,1,3,2026-07-10T21:14:00,1,0
I-0032,N47,1,0,2026-07-11T00:04:00,4,0
I-0033,N49,3,3,2026-07-11T01:37:00,4,0
I-0034,N35,1,2,2026-07-10T18:21:00,5,0
I-0035,N14,1,0,2026-07-10T17:22:00,3,0
I-0036,N32,3,2,2026-07-11T08:49:00,3,0
I-0037,N2,1,2,2026-07-11T02:58:00,4,0
I-0038,N12,4,0,2026-07-11T05:16:00,5,0
I-0039,N36,3,0,2026-07-11T05:22:00,3,0
I-0040,N35,1,2,2026-07-11T09:08:00,3,0
I-0041,N46,2,1,2026-07-10T19:28:00,4,0
I-0042,N31,1,0,2026-07-11T03:13:00,5,0
I-0043,N39,1,1,2026-07-10T18:53:00,2,0
I-0044,N7,2,3,2026-07-11T00:16:00,5,0
I-0045,N42,2,2,2026-07-10T20:16:00,3,0
I-0046,N49,3,2,2026-07-10T23:45:00,2,0
I-0047,N3,2,1,2026-07-11T05:49:00,4,0
I-0048,N11,3,3,2026-07-10T18:55:00,3,0
I-0049,N18,3,3,2026-07-10T23:25:00,1,0
I-0050,N20,1,2,2026-07-10T18:50:00,5,0
I-0051,N24,1,3,2026-07-11T10:14:00,5,0
I-0052,N15,1,3,2026-07-10T16:25:00,3,0
I-0053,N36,2,2,2026-07-10T21:00:00,5,0
I-0054,N17,1,3,2026-07-10T18:53:00,5,0
I-0055,N1,1,0,2026-07-11T05:46:00,1,0
I-0056,N34,2,3,2026-07-11T07:29:00,4,0
I-0057,N14,1,1,2026-07-11T00:52:00,3,0
I-0058,N38,2,0,2026-07-10T20:10:00,5,0
I-0059,N20,3,2,2026-07-10T16:11:00,1,0
