id,x,y
N0,63.94,2.5
N1,27.5,22.32
N2,73.65,67.67
N3,89.22,8.69
N4,42.19,2.98
N5,21.86,50.54
N6,2.65,19.88
N7,64.99,54.49
N8,22.04,58.93
N9,80.94,0.65
N10,80.58,69.81
N11,34.03,15.55
N12,95.72,33.66
N13,9.27,9.67
N14,84.75,60.37
N15,80.71,72.97
N16,53.62,97.31
N17,37.85,55.2
N18,82.94,61.85
N19,86.17,57.74
N20,70.46,4.58
N21,22.79,28.94
N22,7.98,23.28
N23,10.1,27.8
N24,63.57,36.48
N25,37.02,20.95
N26,26.7,93.67
N27,64.8,60.91
N28,17.11,72.91
N29,16.34,37.95
N30,98.95,64.0
N31,55.69,68.46
N32,84.29,77.6
N33,22.9,3.21
N34,31.55,26.77
N35,21.1,94.29
N36,87.64,31.47
N37,65.54,39.56
N38,91.45,45.89
N39,26.49,24.66
N40,56.14,26.27
N41,58.46,89.78
N42,39.94,21.93
N43,99.75,50.95
N44,9.09,4.71
N45,10.96,62.74
N46,79.21,42.22
N47,6.35,38.16
N48,99.61,52.91
N49,97.11,86.08
