origen,destino,peso
N1,N0,52.8
N2,N0,83.9
N3,N2,79.3
N4,N2,75.1
N5,N3,84.3
N6,N0,88.0
N7,N5,47.9
N8,N2,63.0
N9,N1,77.7
N10,N4,103.0
N11,N8,56.0
N12,N2,46.6
N13,N2,105.3
N14,N12,39.5
N15,N14,13.2
N16,N10,46.0
N17,N3,95.1
N18,N9,67.1
N19,N7,29.0
N20,N2,65.3
N21,N15,96.5
N22,N17,57.1
N23,N4,51.3
N24,N17,33.9
N25,N16,105.4
N26,N13,118.9
N27,N17,35.9
N28,N22,54.5
N29,N9,86.5
N30,N21,105.6
N31,N14,41.0
N32,N28,70.6
N33,N14,86.4
N34,N1,7.4
N35,N14,89.1
N36,N0,38.5
N37,N3,42.5
N38,N2,37.8
N39,N4,32.3
N40,N17,43.4
N41,N13,114.3
N42,N36,59.9
N43,N15,38.2
N44,N26,97.6
N45,N6,55.2
N46,N22,86.2
N47,N29,13.4
N48,N3,57.7
N49,N41,40.4
N25,N46,53.7
N6,N15,101.6
N34,N28,51.1
N11,N17,47.2
N4,N28,98.3
N35,N6,78.2
N34,N0,56.2
N48,N15,29.4
N31,N30,47.2
N25,N3,57.2
N0,N24,37.6
N29,N18,82.7
N46,N35,98.7
N31,N9,77.9
N13,N3,98.5
N34,N3,78.5
N30,N32,27.4
N33,N10,90.1
N32,N5,91.2
N4,N38,67.1
N15,N25,71.2
N36,N15,51.8
N2,N39,65.9
N42,N37,38.1
N20,N16,101.9
N45,N20,91.1
N25,N8,51.8
N19,N29,81.8
N48,N4,76.4
N39,N36,86.0
N4,N34,28.3
N16,N8,68.3
N4,N15,91.7
N10,N28,84.7
N45,N19,93.8
N41,N33,93.9
N35,N19,102.4
N6,N8,48.2
N6,N47,22.8
N17,N18,56.6
N45,N21,38.7
N40,N16,85.5
N16,N3,99.0
N21,N49,98.7
N47,N28,44.4
N27,N35,55.2
N4,N44,45.1
N34,N2,78.3
N37,N35,74.7
N19,N23,111.1
N2,N22,85.9
N15,N42,68.0
N49,N35,103.5
N26,N39,89.7
N15,N10,4.4
N11,N26,79.2
N47,N21,24.7
N26,N42,98.2
N15,N17,49.4
N44,N6,19.0
N2,N30,27.8
